attr_col,new_name
Aximuth,AZI
AZ,AZI
AZ_COMET,AZI
AZ_Eelya,AZI
AZ_MGX_LOC,AZI
AZ_Webbs,AZI
AZIM,AZI
Azim,AZI
AZIMUTH,AZI
Azimuth,AZI
azimuth,AZI
Azimuth(T),AZI
Azimuth_Mayan,AZI
Azimuth_TRUE,AZI
Azimuth_True,AZI
GILBEYS AZIMUTH,AZI
WMC AZIMUTH,AZI
GILBEYS AZI,AZI
AZI(T),AZI
AMG AZIMUTH,AZI_AMG
AMG Azimuth,AZI_AMG
AMG_azim,AZI_AMG
AMG_Azim,AZI_AMG
Amg_Azim,AZI_AMG
AMG_Azimuth,AZI_AMG
amg_azimuth,AZI_AMG
AMG_AZIMUTH,AZI_AMG
AMG_azimuth,AZI_AMG
AMG84_Azimuth,AZI_AMG
AmgAzim,AZI_AMG
AMGAZM,AZI_AMG
Az_AMG,AZI_AMG
AZ_AMG,AZI_AMG
AZ_Mag,AZI_AMG
Az_mag,AZI_AMG
AZ_MAG,AZI_AMG
Azi_AMG,AZI_AMG
Azi_Mag,AZI_AMG
Azim_AMG,AZI_AMG
Azimuth_AMG,AZI_AMG
Mag_Az,AZI_AMG
Mag_Azim,AZI_AMG
Mag_Azimu,AZI_AMG
MAG_AZIMUT,AZI_AMG
MAG_Azimuth,AZI_AMG
Mag_azimuth,AZI_AMG
Mag_Azimuth,AZI_AMG
MagAzi,AZI_AMG
MAGAZM,AZI_AMG
Magnetic  Azimuth,AZI_AMG
Magnetic Azimuth,AZI_AMG
MAGNETIC_AZ,AZI_AMG
Magnetic_Az,AZI_AMG
Magnetic_Az_2,AZI_AMG
PLOT Azim_Mag,AZI_AMG
AZ_MAG_CAMERA,AZI_AMG_CAMERA
AZ_MAG_SURTRON,AZI_AMG_SURTRON
GDA_Az,AZI_GDA
Az_grid,AZI_GRID
AZIMUTHGRIDNAME,AZI_GRID
GRID_AZ,AZI_GRID
Grid_Az,AZI_GRID
OBSGRIDAZM,AZI_GRID
AZI GRID,AZI_GRID
GRID AZI,AZI_GRID
Aximuth_gyro,AZI_GYRO
"azimuth_local
",AZI_LOCAL
AZ_LOCAL,AZI_LOCAL
AZ_MINE,AZI_LOCAL
Azi_grid,AZI_LOCAL
Azim_Local,AZI_LOCAL
Azimuth Local,AZI_LOCAL
Azimuth_local,AZI_LOCAL
AzLoc,AZI_LOCAL
GridAzim,AZI_LOCAL
LOCAL AZIMUTH,AZI_LOCAL
Local Azimuth,AZI_LOCAL
Local_Az,AZI_LOCAL
Local_Azi,AZI_LOCAL
Local_Azim,AZI_LOCAL
Local_Azimuth,AZI_LOCAL
Local_azimuth,AZI_LOCAL
local_azimuth,AZI_LOCAL
LOCAL_GRID_AZIMUTH,AZI_LOCAL
Local_Grid_Azimuth,AZI_LOCAL
Local_Grid_Azimuth_2,AZI_LOCAL
LOCALAZID,AZI_LOCAL
LocalGrid_azim,AZI_LOCAL
LocAzim,AZI_LOCAL
LOCAZM,AZI_LOCAL
Project_Azim,AZI_LOCAL
"AZI_LOCAL
",AZI_LOCAL
Azim mag,AZI_MAG
Azim_M,AZI_MAG
Azim_Mag,AZI_MAG
Azimuth Mag,AZI_MAG
Azimuth MAG,AZI_MAG
Azimuth_mag,AZI_MAG
Azimuth_MAG,AZI_MAG
Azimuth_Mag,AZI_MAG
OBSMAGAZM,AZI_MAG
AZI MAG,AZI_MAG
AZI mag,AZI_MAG
AZI Mag,AZI_MAG
Magnetic  AZI,AZI_MAG
Magnetic AZI,AZI_MAG
MGA AZI,AZI_MAG
PLOT AZI_MAG,AZI_MAG
AZI_MGA,AZI_MGA
Azimuth_MGA,AZI_MGA
Azimuth_MGA94,AZI_MGA
MGA Azimuth,AZI_MGA
MGA_AZIM,AZI_MGA
MGA_Azimuth,AZI_MGA
MGA94_Az,AZI_MGA
MGA94Azimuth,AZI_MGA
NAT_Azimuth,AZI_NAT
Nominal Az,AZI_NOMINAL
Nominal AZI,AZI_NOMINAL
Orig Azimuth,AZI_ORIG
Orig_Azim,AZI_ORIG
ORIG_AZIMU,AZI_ORIG
Orig_Azimuth,AZI_ORIG
Orig_azimuth_ID,AZI_ORIG
OrigAzim,AZI_ORIG
Orig AZI,AZI_ORIG
Ref. Azim,AZI_REF
Ref.Azim,AZI_REF
ref_azim,AZI_REF
REF_AZIM,AZI_REF
Ref. AZI,AZI_REF
Ref.AZI,AZI_REF
Ref_Azim,AZI_REG
REG_AZIM,AZI_REG
RegAzim,AZI_REG
Regional_Azimuth,AZI_REG
Regional_Azimuth_2,AZI_REG
AZIMUTHTYPE,AZI_TYPE
UTM_Az,AZI_UTM
UTM_Azi,AZI_UTM
UTM_Azimuth,AZI_UTM
WMC AZI,AZI_WMC
Dip,DIP
DIP,DIP
dip,DIP
Dip (deg.),DIP
Dip_2,DIP
INC,DIP
Inclination,DIP
DIP (deg.),DIP
DIP_camera,DIP_CAMERA
Dip_gyro,DIP_GYRO
DIP_LOCAL,DIP_LOCAL
Nominal_Dip,DIP_NOMINAL
DIP_Surtron,DIP_SURTRON
